Rating Area ID*,Tobacco*,Age*,Individual Rate*,,Tobacco Rate*
57129MN0220001,Rating Area 7,No Preference,25,273.76,
57129MN0220001,Rating Area 7,No Preference,26,279.21,
57129MN0220001,Rating Area 7,No Preference,27,285.76,
57129MN0220001,Rating Area 7,No Preference,28,296.39,
57129MN0220001,Rating Area 7,No Preference,29,305.12,
57129MN0220001,Rating Area 7,No Preference,30,309.48,
57129MN0220001,Rating Area 7,No Preference,31,316.02,
57129MN0220001,Rating Area 7,No Preference,32,322.57,
57129MN0220001,Rating Area 7,No Preference,33,326.66,
57129MN0220001,Rating Area 7,No Preference,34,331.02,
57129MN0220001,Rating Area 7,No Preference,35,333.2,
57129MN0220001,Rating Area 7,No Preference,36,335.38,
57129MN0220001,Rating Area 7,No Preference,37,337.56,
57129MN0220001,Rating Area 7,No Preference,38,339.74,
57129MN0220001,Rating Area 7,No Preference,39,344.11,
57129MN0220001,Rating Area 7,No Preference,40,348.47,
57129MN0220001,Rating Area 7,No Preference,41,355.01,
57129MN0220001,Rating Area 7,No Preference,42,361.29,
57129MN0220001,Rating Area 7,No Preference,43,370.01,
57129MN0220001,Rating Area 7,No Preference,44,380.92,
57129MN0220001,Rating Area 7,No Preference,45,393.73,
57129MN0220001,Rating Area 7,No Preference,46,409,
57129MN0220001,Rating Area 7,No Preference,47,426.18,
57129MN0220001,Rating Area 7,No Preference,48,445.81,
57129MN0220001,Rating Area 7,No Preference,49,465.17,
57129MN0220001,Rating Area 7,No Preference,50,486.99,
57129MN0220001,Rating Area 7,No Preference,51,508.53,
57129MN0220001,Rating Area 7,No Preference,52,532.25,
57129MN0220001,Rating Area 7,No Preference,53,556.24,
57129MN0220001,Rating Area 7,No Preference,54,582.15,
57129MN0220001,Rating Area 7,No Preference,55,608.05,
57129MN0220001,Rating Area 7,No Preference,56,636.14,
57129MN0220001,Rating Area 7,No Preference,57,664.49,
57129MN0220001,Rating Area 7,No Preference,58,694.76,
57129MN0220001,Rating Area 7,No Preference,59,709.76,
57129MN0220001,Rating Area 7,No Preference,60,740.02,
57129MN0220001,Rating Area 7,No Preference,61,766.2,
57129MN0220001,Rating Area 7,No Preference,62,783.38,
57129MN0220001,Rating Area 7,No Preference,63,804.92,
57129MN0220001,Rating Area 7,No Preference,64 and over,818.01,
57129MN0220001,Rating Area 8,No Preference,0-14,241.66,
57129MN0220001,Rating Area 8,No Preference,15,241.66,
57129MN0220001,Rating Area 8,No Preference,16,241.66,
57129MN0220001,Rating Area 8,No Preference,17,241.66,
57129MN0220001,Rating Area 8,No Preference,18,241.66,
57129MN0220001,Rating Area 8,No Preference,19,241.66,
57129MN0220001,Rating Area 8,No Preference,20,241.66,
57129MN0220001,Rating Area 8,No Preference,21,271.53,
57129MN0220001,Rating Area 8,No Preference,22,271.53,
57129MN0220001,Rating Area 8,No Preference,23,271.53,
57129MN0220001,Rating Area 8,No Preference,24,271.53,
57129MN0220001,Rating Area 8,No Preference,25,272.62,
57129MN0220001,Rating Area 8,No Preference,26,278.05,
57129MN0220001,Rating Area 8,No Preference,27,284.57,
57129MN0220001,Rating Area 8,No Preference,28,295.16,
57129MN0220001,Rating Area 8,No Preference,29,303.84,
57129MN0220001,Rating Area 8,No Preference,30,308.19,
57129MN0220001,Rating Area 8,No Preference,31,314.71,
57129MN0220001,Rating Area 8,No Preference,32,321.22,
57129MN0220001,Rating Area 8,No Preference,33,325.3,
57129MN0220001,Rating Area 8,No Preference,34,329.64,
57129MN0220001,Rating Area 8,No Preference,35,331.81,
57129MN0220001,Rating Area 8,No Preference,36,333.98,
57129MN0220001,Rating Area 8,No Preference,37,336.16,
57129MN0220001,Rating Area 8,No Preference,38,338.33,
57129MN0220001,Rating Area 8,No Preference,39,342.67,
57129MN0220001,Rating Area 8,No Preference,40,347.02,
57129MN0220001,Rating Area 8,No Preference,41,353.53,
57129MN0220001,Rating Area 8,No Preference,42,359.78,
57129MN0220001,Rating Area 8,No Preference,43,368.47,
57129MN0220001,Rating Area 8,No Preference,44,379.33,
57129MN0220001,Rating Area 8,No Preference,45,392.09,
57129MN0220001,Rating Area 8,No Preference,46,407.3,
57129MN0220001,Rating Area 8,No Preference,47,424.4,
57129MN0220001,Rating Area 8,No Preference,48,443.96,
57129MN0220001,Rating Area 8,No Preference,49,463.23,
57129MN0220001,Rating Area 8,No Preference,50,484.96,
57129MN0220001,Rating Area 8,No Preference,51,506.41,
57129MN0220001,Rating Area 8,No Preference,52,530.03,
57129MN0220001,Rating Area 8,No Preference,53,553.93,
57129MN0220001,Rating Area 8,No Preference,54,579.72,
57129MN0220001,Rating Area 8,No Preference,55,605.52,
57129MN0220001,Rating Area 8,No Preference,56,633.48,
57129MN0220001,Rating Area 8,No Preference,57,661.72,
57129MN0220001,Rating Area 8,No Preference,58,691.86,
57129MN0220001,Rating Area 8,No Preference,59,706.8,
57129MN0220001,Rating Area 8,No Preference,60,736.94,
57129MN0220001,Rating Area 8,No Preference,61,763.01,
57129MN0220001,Rating Area 8,No Preference,62,780.11,
57129MN0220001,Rating Area 8,No Preference,63,801.56,
57129MN0220001,Rating Area 8,No Preference,64 and over,814.59,
57129MN0220001,Rating Area 9,No Preference,0-14,258.6,
57129MN0220001,Rating Area 9,No Preference,15,258.6,
57129MN0220001,Rating Area 9,No Preference,16,258.6,
57129MN0220001,Rating Area 9,No Preference,17,258.6,
57129MN0220001,Rating Area 9,No Preference,18,258.6,
57129MN0220001,Rating Area 9,No Preference,19,258.6,
57129MN0220001,Rating Area 9,No Preference,20,258.6,
57129MN0220001,Rating Area 9,No Preference,21,290.56,
57129MN0220001,Rating Area 9,No Preference,22,290.56,
57129MN0220001,Rating Area 9,No Preference,23,290.56,
57129MN0220001,Rating Area 9,No Preference,24,290.56,
57129MN0220001,Rating Area 9,No Preference,25,291.72,
57129MN0220001,Rating Area 9,No Preference,26,297.54,
57129MN0220001,Rating Area 9,No Preference,27,304.51,
57129MN0220001,Rating Area 9,No Preference,28,315.84,
57129MN0220001,Rating Area 9,No Preference,29,325.14,
57129MN0220001,Rating Area 9,No Preference,30,329.79,
57129MN0220001,Rating Area 9,No Preference,31,336.76,
57129MN0220001,Rating Area 9,No Preference,32,343.74,
57129MN0220001,Rating Area 9,No Preference,33,348.09,
57129MN0220001,Rating Area 9,No Preference,34,352.74,
57129MN0220001,Rating Area 9,No Preference,35,355.07,
57129MN0220001,Rating Area 9,No Preference,36,357.39,
57129MN0220001,Rating Area 9,No Preference,37,359.72,
57129MN0220001,Rating Area 9,No Preference,38,362.04,
57129MN0220001,Rating Area 9,No Preference,39,366.69,
57129MN0220001,Rating Area 9,No Preference,40,371.34,
57129MN0220001,Rating Area 9,No Preference,41,378.31,
57129MN0220001,Rating Area 9,No Preference,42,384.99,
57129MN0220001,Rating Area 9,No Preference,43,394.29,
